# Обращения, которые код приклеивает к имени той же строкой:
# get_face_name() и update_name() собирают "[honorary] [real_name]", поэтому в
# захват паттерна попадает "Lady Herald Vicente" целиком, а склонения игрока
# заведены на "Vicente" и не находятся.
#
# Движок отрезает отсюда самый длинный совпавший префикс, склоняет его по этой
# таблице, остаток отправляет в обычный поиск склонений и склеивает обратно.
# Поэтому резать разрешено ТОЛЬКО по этому списку, а не по общей таблице
# существительных: иначе "sword of truth" стал бы "меч of truth".
#
# Формат тот же: английское = им. | род. | дат. | вин. | твор. | предл.
# Несклоняемые (леди, мадам) просто повторяют форму шесть раз.

Sir       = сир      | сира      | сиру      | сира      | сиром      | сире
Dame      = дама     | дамы      | даме      | даму      | дамой      | даме
Lady      = леди     | леди      | леди      | леди      | леди       | леди
Lord      = лорд     | лорда     | лорду     | лорда     | лордом     | лорде
Lady Herald = леди-герольд | леди-герольд | леди-герольд | леди-герольд | леди-герольд | леди-герольд
Lord Herald = лорд-герольд | лорд-герольда | лорд-герольду | лорд-герольда | лорд-герольдом | лорд-герольде
Former Lady = бывшая леди | бывшей леди | бывшей леди | бывшую леди | бывшей леди | бывшей леди
Former Lord = бывший лорд | бывшего лорда | бывшему лорду | бывшего лорда | бывшим лордом | бывшем лорде
Baron     = барон    | барона    | барону    | барона    | бароном    | бароне
Baroness  = баронесса | баронессы | баронессе | баронессу | баронессой | баронессе
Baronet   = баронет  | баронета  | баронету  | баронета  | баронетом  | баронете
Baronetess = баронетесса | баронетессы | баронетессе | баронетессу | баронетессой | баронетессе
Count     = граф     | графа     | графу     | графа     | графом     | графе
Countess  = графиня  | графини   | графине   | графиню   | графиней   | графине
Prince    = принц    | принца    | принцу    | принца    | принцем    | принце
Princess  = принцесса | принцессы | принцессе | принцессу | принцессой | принцессе
Emir      = эмир     | эмира     | эмиру     | эмира     | эмиром     | эмире
Amirah    = амира    | амиры     | амире     | амиру     | амирой     | амире
Khan      = хан      | хана      | хану      | хана      | ханом      | хане
Khatun    = хатун    | хатун     | хатун     | хатун     | хатун      | хатун
Ritter    = риттер   | риттера   | риттеру   | риттера   | риттером   | риттере
Ritterin  = риттерин | риттерин  | риттерин  | риттерин  | риттерин   | риттерин
Herr Prafekt = герр префект | герра префекта | герру префекту | герра префекта | герром префектом | герре префекте
Frau Prafekt = фрау префект | фрау префекта | фрау префекту | фрау префекта | фрау префектом | фрау префекте
Madame    = мадам    | мадам     | мадам     | мадам     | мадам      | мадам
Miss      = мисс     | мисс      | мисс      | мисс      | мисс       | мисс
Brother   = брат     | брата     | брату     | брата     | братом     | брате
Sister    = сестра   | сестры    | сестре    | сестру    | сестрой    | сестре
Mother Superior = матушка-настоятельница | матушки-настоятельницы | матушке-настоятельнице | матушку-настоятельницу | матушкой-настоятельницей | матушке-настоятельнице
Father    = отец     | отца      | отцу      | отца      | отцом      | отце
Vicar     = викарий  | викария   | викарию   | викария   | викарием   | викарии
Elder     = старейшина | старейшины | старейшине | старейшину | старейшиной | старейшине
Oracle    = оракул   | оракула   | оракулу   | оракула   | оракулом   | оракуле
Archmage  = архимаг  | архимага  | архимагу  | архимага  | архимагом  | архимаге
Archwizard = архиволшебник | архиволшебника | архиволшебнику | архиволшебника | архиволшебником | архиволшебнике
Magus     = магус    | магуса    | магусу    | магуса    | магусом    | магусе
Magister  = магистр  | магистра  | магистру  | магистра  | магистром  | магистре
Grandmaster = гроссмейстер | гроссмейстера | гроссмейстеру | гроссмейстера | гроссмейстером | гроссмейстере
Thane     = тан      | тана      | тану      | тана      | таном      | тане
General   = генерал  | генерала  | генералу  | генерала  | генералом  | генерале
Lieutenant = лейтенант | лейтенанта | лейтенанту | лейтенанта | лейтенантом | лейтенанте
Serjeant  = сержант  | сержанта  | сержанту  | сержанта  | сержантом  | сержанте
Constable = констебль | констебля | констеблю | констебля | констеблем | констебле
Warden    = смотритель | смотрителя | смотрителю | смотрителя | смотрителем | смотрителе
Overseer  = надзиратель | надзирателя | надзирателю | надзирателя | надзирателем | надзирателе
Spymaster = начальник разведки | начальника разведки | начальнику разведки | начальника разведки | начальником разведки | начальнике разведки
Huntsmaster = ловчий | ловчего | ловчему | ловчего | ловчим | ловчем
Foreman   = десятник | десятника | десятнику | десятника | десятником | десятнике
Councilor = советник | советника | советнику | советника | советником | советнике
Mayor     = мэр      | мэра      | мэру      | мэра      | мэром      | мэре
Regent    = регент   | регента   | регенту   | регента   | регентом   | регенте
Black Knight = чёрный рыцарь | чёрного рыцаря | чёрному рыцарю | чёрного рыцаря | чёрным рыцарем | чёрном рыцаре
God-Lord  = бог-владыка | бога-владыки | богу-владыке | бога-владыку | богом-владыкой | боге-владыке
Dr        = доктор   | доктора   | доктору   | доктора   | доктором   | докторе
